,commenter_id,commenter_name,comment_text,comment_time
3329,100041094621027,Kim Kim,Insight mất lòng cái này chuẩn =)) đến bảng cửu chương giờ tui còn nhầm,2023-11-15 00:00:00
3330,61553116325502,Jaivanth Bearup,Insight mất lòng nhiều ông con trai k hiểu trong khi t là gái mà t còn hiểu😆,2023-11-15 00:00:00
3331,100093677447832,Richard Walker,Insight mất lòng hôm nào cũng say,2023-11-15 00:00:00
3332,61550105158945,Arnold Bravo,Insight mất lòng Str t vô xem lẹ để xóa,2023-11-15 00:00:00
3333,100093578422214,Louis Moss,Insight mất lòng Chắc tắm tiên tí =)),2023-11-15 00:00:00
3334,100018283444534,Vân Trang Nguyễn Ng,Nguyễn Tường Duy … im sỏgi,2023-11-15 00:00:00
3335,100021448921217,Hạnh Duyên,Bảo Ngọc,2023-11-15 00:00:00
3336,61550196745720,Jerry Stephenson,Insight mất lòng anh bị điên à,2023-11-15 00:00:00
3337,100007346297101,Huynh Thanh Tuan,Insight mất lòng Hồng Hồng,2023-11-15 00:00:00
3338,100086112655784,Trịnh Thao Tâm,Insight mất lòng Anh mắc dại dữ dị anh 😂,2023-11-15 00:00:00
3339,100084472000661,This Is Hottrend & Accessories,Qua fb em xem túi này bài thứ 3 ạ 💕,2023-11-15 00:00:00
3340,61552832219500,Đỗ Như Phương,Insight mất lòng Này thì xác minh,2023-11-15 00:00:00
3341,100017617904432,Nguyễn Tường Duy,Vân Trang Nguyễn Ng gà,2023-11-15 00:00:00
3342,100018283444534,Vân Trang Nguyễn Ng,Nguyễn Tường Duy nma thi toán thptqg đc 9đ 🫶🏻,2023-11-15 00:00:00
3343,61550196745720,Jerry Stephenson,Insight mất lòng Anh tệ vãi :<,2023-11-15 00:00:00
3344,100039978201884,Cẩm Ly,Insight mất lòng kẻ k thuộc bảng cửu chương🤡,2023-11-15 00:00:00
3345,100007629420072,Phương Uyên,Linh Mai mày,2023-11-15 00:00:00
3346,100038708537728,Nhật Minh,Insight mất lòng Chi Vũ m nè,2023-11-15 00:00:00
3347,100037882291660,Chi Vũ,Nhật Minh chả phải😐,2023-11-15 00:00:00
3348,100015756241156,Trịnh Thuý Hiền,Phạm Thu Hà wen wen,2023-11-15 00:00:00
3349,100013495547059,Thùy Linh,Hươngg Giangg :),2023-11-15 00:00:00
3350,100006213462012,Hươngg Giangg,"Thùy Linh t nhầm không sao, m nhầm dễ đi tù lắm =)))))",2023-11-15 00:00:00
3351,100013495547059,Thùy Linh,Hươngg Giangg phủi phui cái mồm mày,2023-11-15 00:00:00
3352,100066434350260,Insight mất lòng,"Trước còn đam mê đọc sách đến độ trốn trong chăn bật đèn pin đọc đến 2 3h sáng, giờ sách nào ko có tả cảnh 2 a đẹp trai rờ vuốt nhau đừng hòng tôi sờ vào 😀",2023-11-15 00:00:00
3353,100004372744574,Hoàng Thảo Nguyên,Nguyễn Minh Thuý KHÔNG,2023-11-15 00:00:00
3354,100010935300196,Lam Giang,Hương Nguyễn phim cũng toàn coi ba bộ tình tiết chim chích bông là vui =)))),2023-11-15 00:00:00
3355,100085811760527,Đông Đông,Insight mất lòng nhột quó :(((,2023-11-15 00:00:00
3356,100085896280783,Shone Seuldy,Insight mất lòng Đoàn Huyền Mỹ An m à,2023-11-15 00:00:00
3357,100033740208460,Mai Tường Nhi,Nguyễn Thu Hà :))))))))))),2023-11-15 00:00:00
3358,100006999276909,Thanh Vân,"Insight mất lòng vô tri vãi, ngày xưa cũng trốn mẹ trùm chăn bật đèn học để đọc truyện 🥲 xong cận lòi chục phẩy",2023-11-15 00:00:00
3359,100034808333148,Đoàn Duyên,Insight mất lòng má ☺️,2023-11-15 00:00:00
3360,100007960987965,Trần Thị Thu Trang,Insight mất lòng Nt Nguyet giờ còn ko có thời gian đọc 2 anh dờ nhau 😭😭😭☺️ tư bản ơi là tư bản,2023-11-15 00:00:00
